,1. open,2. high,3. low,4. close,5. volume
2022-02-07 04:01:00,172.39,172.39,172.16,172.39,2886.0
2022-02-07 04:02:00,172.47,172.52,172.47,172.52,2645.0
2022-02-07 04:03:00,172.62,172.65,172.62,172.65,637.0
2022-02-07 04:04:00,172.68,172.68,172.56,172.56,1393.0
2022-02-07 04:05:00,172.51,172.51,172.49,172.49,2266.0
2022-02-07 04:06:00,172.4,172.44,172.4,172.44,1003.0
2022-02-07 04:07:00,172.38,172.38,172.38,172.38,251.0
2022-02-07 04:08:00,172.4,172.4,172.4,172.4,1310.0
2022-02-07 04:09:00,172.5,172.5,172.5,172.5,5916.0
2022-02-07 04:10:00,172.5,172.5,172.48,172.5,1653.0
2022-02-07 04:11:00,172.38,172.4,172.38,172.4,691.0
2022-02-07 04:12:00,172.35,172.35,172.3,172.3,818.0
2022-02-07 04:14:00,172.3,172.3,172.3,172.3,977.0
2022-02-07 04:15:00,172.38,172.39,172.38,172.39,923.0
2022-02-07 04:16:00,172.44,172.65,172.44,172.65,1260.0
2022-02-07 04:18:00,172.55,172.55,172.55,172.55,183.0
2022-02-07 04:28:00,172.25,172.25,172.25,172.25,1458.0
2022-02-07 04:31:00,172.35,172.35,172.29,172.29,840.0
2022-02-07 04:32:00,172.5,172.5,172.5,172.5,871.0
2022-02-07 04:42:00,172.1,172.1,172.05,172.05,787.0
2022-02-07 04:43:00,172.06,172.06,172.06,172.06,162.0
2022-02-07 04:44:00,172.02,172.02,172.02,172.02,366.0
2022-02-07 04:49:00,172.13,172.13,172.12,172.12,309.0
2022-02-07 04:50:00,172.15,172.15,172.15,172.15,252.0
2022-02-07 04:51:00,172.0,172.0,172.0,172.0,1324.0
2022-02-07 04:52:00,171.8,171.92,171.8,171.92,1702.0
2022-02-07 04:53:00,171.97,171.97,171.97,171.97,254.0
2022-02-07 04:54:00,171.97,171.97,171.97,171.97,341.0
2022-02-07 04:56:00,172.24,172.35,172.24,172.35,1938.0
2022-02-07 04:59:00,172.36,172.44,172.36,172.44,805.0
2022-02-07 05:03:00,172.43,172.5,172.43,172.5,1341.0
2022-02-07 05:07:00,172.5,172.5,172.5,172.5,418.0
2022-02-07 05:08:00,172.33,172.33,172.31,172.31,1225.0
2022-02-07 05:09:00,172.41,172.41,172.41,172.41,251.0
