date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2010-01-04,27.2944948959,,21.1292729165,49.792737218,133.9,16.6734232088,45.6406162406,14.6394603394,19.6483660821,32.8431854982,27.87,7.3540407371,20.2525652511,58.2712187935,28.7291200599,,,11.8252069006,20.1759031163,,314.3453539939,23.636524527,33.4401888876,106.9836785575,16.0073281754,50.2318109233,35.3897573215,22.1807437824,24.6596867579,48.6414600776,36.4441592368,67.6096903421,13.2793302636,27.431136703,25.037671564,17.1339197562,22.5373053612,223.96,48.1697211873,13.9347189037,47.1148472604,34.7095296063,18.3237695787,27.8787334644,20.6948024351,20.828886939,22.3858298403,43.935552263,53.9981118752
2010-01-05,27.3416841072,,20.9585626689,49.3654269078,134.69,16.7971919919,47.1354317245,15.1153127787,19.3417197133,34.0989543555,27.545,7.2543690005,20.1623351102,58.6839671179,28.6574540292,,,11.8864377454,20.1572648686,,312.9610808754,23.8096556798,33.5064891382,105.6913124896,15.9996618305,49.6493455832,36.0752532042,21.9124283334,24.6596867579,48.2695597775,36.4441592368,67.1862136018,13.286040385,27.542313966,25.0457612802,17.384117611,22.5100973467,226.56,48.7517850945,13.7359669701,47.1302644225,34.407096015,18.2340100356,27.8345236111,20.4576598159,20.5660223803,23.0003749494,43.4980601327,54.2089504899
2010-01-06,26.9067781327,,21.0749560195,48.9944528853,132.25,16.9298014024,48.5652552308,15.2925911385,19.3340535541,35.161528004,28.195,7.2023663554,20.031091269,58.6913376237,28.505163714,,,11.8252069006,20.8561991567,,305.0717271964,23.7272122737,33.5064891382,105.004743016,15.9459974161,50.053188219,36.2734688812,21.904651074,24.5511933533,47.6109863295,37.8014758735,68.1390362675,13.4806339058,27.9129048429,24.8920566728,17.4953166575,22.1836011724,219.08,48.264109929,13.6917998737,46.9067155726,34.407096015,17.9711428023,28.1086247013,20.182950049,20.2749937617,23.0331506885,43.4008396593,54.6774807448
2010-01-07,26.8570381532,,21.2495460454,48.5458331371,130.0,16.823713874,50.5312625519,15.7964348978,19.3493858725,35.2581256084,27.945,7.3540407371,20.1213214098,58.4702224499,28.5141219678,,,12.4375153486,20.9074543379,,297.9698042406,24.0075198545,34.1529165814,104.6412650594,15.7926705179,49.6959428104,36.9920007101,21.8502102583,24.3907594321,47.9596428608,38.1517211828,68.1878989683,13.4605035416,27.9573757481,24.6348036985,17.1524529306,22.111046467,216.13,47.9573465184,13.6402715946,46.6523323985,34.8361297143,17.7693661174,29.1873451208,20.370785787,20.1543092751,23.8689320369,43.4251447777,54.505686318
2010-01-08,27.0355919257,,21.3581798393,48.9771982796,133.52,16.9474826571,50.0438227202,15.656478298,19.0274071853,34.6785399819,28.635,7.3323729683,20.2279570308,58.573409531,28.558913237,,,12.7054002945,20.7536887945,,301.9420662328,23.8920990859,34.9070819317,105.6913124896,15.9689964508,49.8667993102,36.9011518582,21.4457927699,24.3994055716,47.9131553233,38.3518613595,68.6683821928,13.4940541486,27.942552113,24.8030697949,17.1895192795,22.3831266122,216.21,47.8000319489,13.7506893355,46.5906637503,34.6462295523,17.6391876111,28.9132440306,20.4271365084,20.1670129052,23.6476957976,43.2063987126,54.2870388657
2010-01-11,26.797095101,,21.4668136333,49.1928808508,130.308,17.0535701855,49.450770925,15.7964348978,19.226727325,35.0649303996,28.635,7.2847038769,20.1705378503,59.6126508477,28.0930840374,,,12.8278619841,20.9167734617,,301.4856573423,23.216063156,35.3463210918,104.584724044,16.0609925898,49.8745655147,36.7772670601,21.8813192958,23.9978404275,48.2850556234,38.2017562269,68.3914935549,13.5947059697,28.0537293761,24.4875708641,16.948588012,22.3921959504,218.91,47.7449718496,13.8611070765,46.4056578056,34.7728296603,17.554571582,29.107767385,20.3684378403,20.2495865014,23.5985321889,43.9193488507,54.8961281971
2010-01-12,26.4922783037,,21.4668136333,48.3387778687,127.35,16.7971919919,49.0933150484,15.2645998185,19.0197410261,34.0023567511,28.495,7.154697264,19.8506309873,59.2662370755,27.6093383301,,,12.8355158397,20.9447308332,,296.1541996431,23.067665025,34.9485195883,105.4166847002,15.7988035938,50.1386164689,35.91833246,22.1185257072,23.9843908773,48.5484850026,37.7931366995,68.4485000392,13.5208946343,27.83137485,24.3257765405,16.3740596048,22.2742945542,213.98,48.41355877,13.8169399801,46.9375498967,34.5829294983,17.5480626566,28.3385159383,20.2721720246,20.2686419466,23.0085688842,44.3406375687,54.6228188817
2010-01-13,26.8659658419,,21.606485654,48.7701430112,129.11,16.2844356048,49.6863668436,15.5071912582,19.157731892,33.8091615423,28.84,7.2673696618,20.2115515507,58.8166362222,28.0303762605,,,12.8814389733,21.2056663008,,294.4539511389,23.1913301341,35.0728325582,105.1905206383,16.0686589347,50.4570308547,36.546015437,22.1768551527,24.6078736009,48.4942495421,38.0099552243,68.2286178856,13.5812857269,28.85420567,24.5522885935,16.5964576979,22.4919586703,214.3,48.8068451939,14.1408320201,47.4231905016,34.934596465,17.3397770465,28.7717725002,20.4600077626,20.2432346863,23.4182656235,44.5674853399,54.4041714295
2010-01-14,26.710368983,,21.6299327356,48.4509328057,127.35,16.2932762322,50.0113267314,15.6938000579,19.2037288473,33.9057591467,29.065,7.2240341242,20.4658364931,58.6323735774,27.7885034069,,,12.7819388505,21.1823684912,,295.8382242574,23.3314839245,35.2800208413,106.8705965265,16.4673088701,50.5579915137,36.9094108447,22.2157414496,25.0238489774,48.5407370796,38.3435221854,68.0005919485,13.6752274266,29.6398583289,25.0457612802,16.3369932559,23.0270496226,208.77,49.3967748296,14.2659721265,47.4694419878,34.8853630896,17.0468754072,29.461446211,20.5304461643,19.8303667056,23.7542169498,43.9193488507,54.411980267
2010-01-15,26.2639845517,,21.6846425925,48.5285785314,127.14,16.1253043123,49.410150939,15.1712954186,19.2190611658,33.036380707,28.76,7.2066999091,20.0146857888,58.396517392,27.4122567457,,,12.5829386049,21.2103258627,,290.8979741786,23.5540811209,35.3297460292,106.4425002666,15.9459974161,50.1386164689,36.0752532042,21.8890965552,25.2323170068,48.2540639317,38.0349727464,67.8947227635,13.7020679122,29.254443817,24.9648641184,15.8551307209,22.9361772878,208.77,48.9956226773,14.3469451365,46.8835898295,34.8994297683,16.7865183945,29.841650949,20.2252130901,19.4238505399,23.0085688842,43.4899584266,53.9668765249
2010-01-19,27.4258594571,,21.9620997243,49.6501279019,127.61,15.7451573356,49.2720429867,15.2272780586,19.6636984006,34.1955519599,29.37,7.2847038769,20.3838090923,58.7281901527,27.7795451531,,,12.6594771609,21.5644525687,,294.7197717015,23.8096556798,35.5120717183,108.3487402167,16.1376560389,50.752146627,35.7448937427,21.9396487412,25.434060261,49.1838146818,38.3852180556,69.3198848702,13.6752274266,30.1068028337,25.1590173066,16.1516615117,23.0179623891,208.7,49.0270855912,14.7223654556,47.2381845569,35.2299967169,17.0533843325,31.061842899,20.6267119801,19.8367185206,23.1724475799,43.7735181406,54.0918179262
2010-01-20,27.0030696315,,21.977731112,49.3481723021,125.78,15.8777667461,48.9064631129,15.3858955383,19.5180413754,33.4227711247,29.01,7.1590308177,20.0228885289,57.6005027664,27.9407937221,,,12.6288617385,21.4572826445,,291.1036089535,23.6282801864,35.1059826835,105.2066752141,16.1606550736,50.5968225363,35.8440015811,21.5818948093,25.3034074868,48.8196623047,38.0349727464,68.9941335315,13.6416768196,30.4106873527,24.7423969236,16.0821621076,22.7726070853,206.31,48.7281879091,14.6781983592,46.9375498967,34.6321628737,16.8125540957,30.5490086012,20.5257502709,19.5064241361,22.7955265797,43.6357891367,53.1235220661
2010-01-21,26.5371718236,,21.711997521,48.8564160397,126.62,15.8998683145,48.0940633935,14.4341906597,19.1270672551,31.5874166409,28.895,6.933686022,19.6701707056,56.1927361601,27.4212149995,,,12.2614766698,21.3314744726,,292.3925879081,23.4798820555,33.7551150779,104.1970142236,15.9766627958,49.6804104014,33.4819314309,21.1424796537,24.8345945914,48.9668728401,36.7674182939,67.3490892712,13.3464314777,29.7065646867,24.2772382435,15.7995311976,22.5636007154,208.04,47.933749333,14.1629155683,46.4639038183,33.5701286344,16.7084112907,29.2669228567,19.8284100935,19.4556096153,22.9430174059,42.8742287619,52.0849466678
2010-01-22,25.2207203666,,21.3016735938,48.8305341311,121.43,15.5241416515,46.9323317946,13.9023555804,18.8587516824,31.3942214321,29.285,6.8686827156,18.8416939577,54.9766027044,26.8568450077,,,12.3303613702,21.4712613303,,275.8565427207,22.8533121691,33.0506749154,101.3699634501,15.263692719,49.0824126523,32.3421912884,21.0919274677,24.1909375423,49.1140833756,36.1086235457,66.3555476882,13.2256492924,28.8097347648,23.427818045,15.252802552,21.9456688392,204.2,47.5011342668,13.9568024519,46.8288442394,32.9230614158,16.5261613818,29.3199746806,19.4245632568,19.2714069778,22.3366662316,42.8904321741,51.6164164129
