date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2001-01-02,0.9488857625,,13.1600269834,54.2484803209,13.88,,42.236576086,14.3460800922,36.5184038466,348.3139601207,4.0475,11.0991550041,27.1062143161,23.5109636914,22.4948264993,,,25.2856408059,2.1588332824,,,32.1794743908,29.5298085849,61.9157813717,20.8965481424,32.6601248371,25.1929508423,19.0779344671,,21.5100709564,45.4707385928,39.4381676834,4.4248596548,47.0387473819,14.3723697359,4.6240293311,23.7477838171,8.46,32.7157889905,25.3020388278,24.8978066897,,19.2277282764,12.9467602589,,20.0805901697,16.8406105768,39.031447223,28.6015915669
2001-01-03,1.0439018771,,12.8674604163,57.8546929123,17.56,,42.618067741,15.3249890868,34.2634562524,378.9379993868,3.75,11.5687987686,33.6162627859,22.6054332072,25.0067756288,,,27.6321482727,2.2479474041,,,36.3325760022,32.1190889761,69.0775997334,23.0292608794,31.6194836045,29.7901614586,18.5885153293,,21.6320683738,45.0351365592,38.9749677274,4.0474197968,45.0813285392,15.8831582559,6.0433623155,28.8070160025,10.86,30.8076992316,23.8924086568,23.6703606783,,19.4643537534,12.5623552631,,21.2314777257,16.5877204291,42.334776832,27.3565093804
2001-01-04,1.0879026282,,11.6889913472,54.0845615668,15.5,,41.5553409879,15.8037032032,32.340271685,384.1109789925,3.16375,11.3937244659,34.0801037394,22.1266784194,25.7152741012,,,27.7766376488,1.9147887268,,,36.5091534517,32.0723751546,68.033624172,22.7399654608,30.9406653236,30.5990533807,18.0583112634,,21.1890251212,41.8762521505,39.3719962611,3.8797751899,42.9924035211,16.0488148918,6.738356704,29.3111387826,11.64,29.4031331591,22.9325437544,22.9345274106,,19.7505942498,11.6837152727,,21.8548751519,16.2349230626,40.7048444592,26.5959823747
2001-01-05,1.0439018771,,11.7573480217,50.3058029185,14.56,,40.022562017,14.7296651214,32.9813332075,370.3163667105,3.08625,11.3075767931,29.8078844311,22.2962944014,25.361024865,,,27.3431695207,1.7036523272,,,35.1389124438,31.3249540107,68.6249669726,21.5693281856,31.3409119515,28.8001743301,18.0990961915,,21.150499621,41.0654973143,37.9162249708,3.8443303301,42.1376133805,16.2774210494,5.7282981928,27.1236060049,10.32,30.0192871438,23.2451854655,23.768683227,,19.0826997583,11.8484602709,,21.8029253664,16.3535628849,39.0749120863,26.7147144389
2001-01-08,1.056018026,,11.6370402745,50.6336404268,14.94,,40.1928707915,14.8063821273,33.365970121,368.1782018068,2.97625,11.3075767931,29.7427839464,22.2443153101,24.2580215613,,,26.3317438884,1.5836686078,,,33.6839142602,30.490778627,68.3037437229,21.4885945804,31.2992863022,28.9812695365,18.3940025951,,21.1890251212,40.8283897679,38.1478249488,4.0292183824,42.2337140472,16.2144715278,6.2750271117,26.9525643474,9.36,30.5161855185,22.9709383505,24.2824978364,,19.2291594789,11.8067248714,,21.8328963965,16.1974578555,39.0749120863,26.5959823747
2001-01-09,1.0961926248,,11.8940613708,53.4892776701,16.38,,40.1519966856,14.4227970981,34.1352439479,359.970407499,2.57875,11.7244203711,30.2147624604,21.9543266958,24.2580215613,,,25.7942434096,1.5743494839,,,32.4054935261,29.82343832,67.5736908828,21.6971563938,31.5202224408,28.655298165,18.6293002575,,21.2275506215,40.9201733342,37.5191964371,4.1556703145,42.4866105385,17.1653406182,6.4001261016,28.3569063775,10.86,30.9733320232,23.7223754456,23.6703606783,,19.923449897,11.92973447,,22.3359585254,15.4356653118,38.2128589646,26.3135926005
2001-01-10,1.056018026,,11.6889913472,52.4108648139,16.5,,41.132975227,14.9015112145,33.8172774328,372.0406932458,3.1175,11.5687987686,29.4986571288,21.9214977961,24.4592995364,,,25.8289208598,1.6325940079,,,33.5073368108,30.1571084735,68.2161373821,22.2017414262,30.7005173468,29.9772931719,18.5508677033,,21.3110225386,40.2547424781,37.1552536145,4.2275180032,42.0769182226,17.5198458191,6.8433780782,29.4821804401,12.36,30.4764336485,23.2067908694,23.4102816785,,20.0922276782,12.4107898648,,22.6136488206,15.2015077676,37.4449797134,25.9926951298
2001-01-11,1.1478456804,,11.5516676706,52.3073371797,17.0,,40.2814313543,15.1715550751,33.0787745589,379.3518377552,3.16375,11.827241787,31.8422745779,22.2798799515,23.750801064,,,26.9097013925,1.6582215985,,,34.6515586833,31.6185837458,68.3986505921,22.4573978426,29.5990386268,31.854646812,18.0018398244,,20.9899767034,40.4459582414,37.0890821922,3.9880257075,41.2878811697,18.2222299556,7.4132734768,29.9863032202,15.54,30.5161855185,22.4882634282,23.0740819958,,20.0922276782,12.1647706675,,22.4365709512,15.3763454006,37.6260833103,26.2333682328
2001-01-12,1.0961926248,,11.9636387003,51.5481345289,17.69,,41.3032840015,15.0549452262,34.4583389553,366.4538752716,3.3675,12.0662321051,30.971555595,22.1430928693,25.409331579,,,26.406878364,1.7368517059,,,34.7010003692,31.0313242756,68.4862569329,21.6164227886,30.2778569078,31.3717262615,17.766542162,,21.5935428736,41.9221439336,36.2950251248,4.0474197968,41.191780503,17.7252600477,7.2588302793,29.0860839701,17.82,30.2710489869,22.7296008893,22.3001883866,,19.5398640307,11.9033752703,,22.3359585254,15.2015077676,38.3504976983,26.5735195518
2001-01-16,1.0917287805,,12.3591308887,53.1096763447,18.06,,41.5553409879,15.6318571101,34.8429758687,377.2136728515,3.2975,12.4024859247,31.3296082609,22.1595073191,26.6169994297,,,27.3836265459,1.89848026,,,34.5244229197,31.9522538993,67.7124009224,21.1118377562,30.1593839059,31.2992881789,17.8826223421,,21.9145887087,42.2127918938,37.5522821482,4.0771168415,42.1376133805,17.4138255721,6.6889348808,28.635974345,21.0,30.4366817785,22.8667244468,22.8171746911,,19.2023084683,11.7935452715,,21.8852148579,15.5917703412,39.6182228772,26.2526220811
