given_return,AAPL,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,GE,GILD,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
0.0002,1.78E-12,5.15E-12,3.20E-12,1.08E-12,8.95E-13,1.58E-12,4.50E-12,3.77E-12,4.69E-12,3.25E-12,2.44E-12,6.65E-12,1.00E-11,3.53E-12,0.812358746,2.64E-12,3.39E-12,1.69E-12,2.70E-12,2.58E-11,3.91E-12,6.95E-12,3.53E-12,1.21E-11,1.61E-12,4.90E-12,7.70E-12,3.93E-12,2.80E-12,1.03E-11,3.28E-12,8.42E-13,6.47E-12,1.36E-12,8.79E-12,6.21E-12,1.20E-11,4.89E-12,1.10E-11,1.54E-12,1.98E-12,7.75E-12,5.20E-12,1.07E-11,0.187641253
0.0003,2.60E-09,8.56E-09,3.92E-09,1.65E-09,1.33E-09,1.96E-09,3.18E-09,6.65E-09,2.93E-09,3.57E-09,2.90E-09,6.77E-09,7.67E-09,3.84E-09,0.036153983,3.42E-09,4.33E-09,2.33E-09,2.78E-09,0.131770167,4.30E-09,2.71E-08,3.02E-09,0.106155747,2.00E-09,1.45E-08,1.22E-08,4.51E-09,4.25E-09,4.51E-08,3.72E-09,1.21E-09,6.24E-09,1.93E-09,1.32E-06,1.21E-08,0.399296114,7.18E-09,0.058575031,2.21E-09,2.58E-09,2.83E-08,4.18E-09,0.122160421,0.145886959
0.0004,4.71E-09,1.45E-08,4.80E-09,2.52E-09,1.93E-09,2.55E-09,2.72E-09,1.38E-08,2.30E-09,3.88E-09,4.08E-09,6.24E-09,8.28E-09,4.78E-09,1.36E-08,4.78E-09,6.47E-09,3.53E-09,3.16E-09,0.064241784,5.46E-09,0.116825886,3.04E-09,0.085342592,2.46E-09,0.112761666,1.23E-08,5.96E-09,8.30E-09,3.08E-08,4.73E-09,1.64E-09,6.06E-09,2.93E-09,0.140648142,2.17E-08,0.219022938,1.25E-08,0.109247586,3.69E-09,3.64E-09,0.010897557,3.71E-09,0.125711011,0.015300599
0.0005,0.025163639,3.09E-06,2.23E-08,7.75E-08,2.55E-08,1.74E-08,7.51E-09,0.029648833,6.06E-09,1.41E-08,3.86E-08,1.76E-08,2.13E-08,2.50E-08,1.32E-08,4.27E-08,6.50E-08,7.16E-08,1.34E-08,0.008522705,3.07E-08,0.143581305,1.05E-08,0.039932899,1.33E-08,0.175444377,2.95E-08,2.99E-08,0.066718071,6.48E-08,2.57E-08,1.66E-08,1.80E-08,6.13E-08,0.155599892,3.88E-07,0.121474716,5.91E-07,0.082431905,0.01085531,3.51E-08,0.034546314,1.04E-08,0.106075105,3.98E-08
0.0006,0.040547556,2.38E-07,1.67E-08,0.013741047,0.000811654,2.08E-08,4.44E-09,0.037275933,3.76E-09,9.57E-09,4.98E-08,9.76E-09,1.15E-08,1.80E-08,6.26E-09,4.86E-08,3.02E-08,0.023668277,9.69E-09,3.20E-08,2.08E-08,0.126524288,6.97E-09,8.30E-05,1.21E-08,0.176536547,1.32E-08,2.07E-08,0.131794047,2.64E-08,1.83E-08,6.07E-08,9.65E-09,2.08E-06,0.150057062,5.67E-08,0.072820362,1.32E-07,0.052939586,0.044670218,5.53E-08,0.041150233,6.25E-09,0.08737713,1.40E-08
0.0007,0.045143875,5.00E-09,1.46E-09,0.026257776,0.012375828,2.68E-09,3.15E-10,0.042916483,2.77E-10,7.79E-10,4.57E-09,6.47E-10,7.35E-10,1.31E-09,3.83E-10,5.63E-09,1.64E-09,0.057755728,7.54E-10,1.17E-09,1.32E-09,0.104034545,5.29E-10,3.57E-09,1.22E-09,0.16657146,7.79E-10,1.47E-09,0.184757699,1.58E-09,1.36E-09,0.006265352,6.23E-10,0.000482878,0.129137773,2.48E-09,0.023130765,2.97E-09,0.02080266,0.06795603,1.03E-08,0.04432821,4.47E-10,0.068082881,7.60E-10
0.0008,0.048202111,4.76E-08,1.53E-08,0.039926445,0.024211981,1.24E-07,2.97E-09,0.048029218,2.70E-09,7.66E-09,9.56E-08,5.68E-09,6.52E-09,1.21E-08,3.38E-09,9.87E-08,1.20E-08,0.093040124,7.62E-09,7.92E-09,1.06E-08,0.071710278,5.20E-09,2.79E-08,1.56E-08,0.152440954,6.72E-09,1.36E-08,0.236532179,1.30E-08,1.21E-08,0.016257479,5.39E-09,0.001183256,0.095000539,1.83E-08,7.06E-08,3.54E-08,1.25E-07,0.092229114,6.86E-06,0.037548645,4.26E-09,0.043679998,6.11E-09
0.0009,0.049298505,1.35E-08,7.26E-09,0.054421464,0.036588703,0.009719701,1.33E-09,0.051900605,1.25E-09,3.59E-09,2.90E-08,2.41E-09,2.66E-09,4.90E-09,1.45E-09,3.62E-08,4.45E-09,0.127678405,3.58E-09,2.79E-09,4.01E-09,0.027458294,2.34E-09,8.18E-09,9.51E-09,0.133353311,2.81E-09,5.66E-09,0.286280251,4.95E-09,4.93E-09,0.02583099,2.27E-09,0.001092111,0.046444845,6.40E-09,1.06E-08,1.03E-08,1.63E-08,0.116325637,0.00412213,0.015339311,1.91E-09,0.014145531,2.37E-09
0.001,0.048027304,6.67E-10,4.83E-10,0.072902125,0.053116929,0.025859911,8.23E-11,0.045652378,7.84E-11,2.32E-10,2.08E-09,1.41E-10,1.56E-10,2.90E-10,8.43E-11,2.92E-09,2.52E-10,0.16102598,2.26E-10,1.49E-10,2.34E-10,1.81E-09,1.47E-10,3.94E-10,8.24E-10,0.087115429,1.61E-10,3.29E-10,0.321834652,2.74E-10,3.01E-10,0.037952919,1.34E-10,0.001231416,2.18E-09,3.48E-10,4.40E-10,5.89E-10,5.69E-10,0.141192281,0.004088657,1.82E-09,1.17E-10,1.31E-09,1.32E-10
0.0011,0.03750188,3.77E-09,4.08E-09,0.103241195,0.084796798,0.042935881,8.67E-10,0.00527029,8.38E-10,2.38E-09,8.50E-09,1.29E-09,1.37E-09,2.47E-09,8.04E-10,1.08E-08,2.16E-09,0.192089142,2.27E-09,1.21E-09,1.97E-09,4.42E-09,1.49E-09,2.36E-09,1.32E-08,1.60E-08,1.44E-09,2.65E-09,0.300279436,2.00E-09,2.59E-09,0.059801633,1.26E-09,0.000644156,4.21E-09,2.53E-09,2.32E-09,3.86E-09,2.66E-09,0.173439435,3.53E-08,4.23E-09,1.18E-09,3.50E-09,1.12E-09
