date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO,BA,BAC,BMY,C,CELG,CMCSA,CSCO,CVX,DIS,DWDP,FB,GE,GILD,GOOG,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MDT,MMM,MO,MRK,MSFT,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,T,UNH,V,VZ,WFC,WMT,XOM
2001-01-02,113078113,,5604745,6449200,9203500,,3762500,7021200,4460300,1324600,18024800,353000,17384600,3957200,6547200,,,36837700,38233600,,,6497200,9949000,8007200,50342900,8855200,7803200,10606000,,3529800,3569600,4651200,10835512,6042900,82413200,7270196,46281000,396500.0,4267800,10655700,6847800,,8130400,4878000,,5242800,10616400,8813600,13101200
2001-01-03,204268604,,11794784,10116600,14680400,,6428600,20566800,9099200,3399100,44732000,488000,161938600,5330000,10282100,,,39205800,42412800,,,17594900,8868000,12769900,78291900,11326000,21303200,12469600,,3265400,4704100,4754400,20203259,9836000,135962200,22759188,76389600,460700.0,7189400,22539500,11180000,,11303200,7880400,,9089100,25444200,19957100,20818000
2001-01-04,184849184,,33693779,9274400,10620500,,3868900,22259200,14731600,2825900,27530400,421799,108614900,5514600,10503500,,,26926400,40121600,,,15560100,3651600,15420500,68769000,12941200,26409800,14770600,,5953800,8124400,4060400,22607355,18325900,112397000,20386189,57584400,531200.0,12373700,33064500,8341600,,9831400,25899600,,6909100,17224200,13812300,24566800
2001-01-05,103089103,,17422082,15381800,8798800,,4012600,30578400,10095300,2292600,31571200,256400,17850700,3438200,6499400,,,22790400,107948800,,,8803200,4208200,8043200,44974700,9277200,16215700,7960200,,3999100,7025600,8367000,11632767,9350500,93414600,10819194,38415200,343900.0,5041900,18119200,8553800,,7291400,8884800,,5302300,14437000,9809200,18777800
2001-01-08,93424893,,10697627,10770300,10444700,,3055100,11865600,4596800,1213800,17223200,326999,92042800,3288000,5068500,,,23210900,104924800,,,7037800,3562500,6064800,45070800,5520200,9938300,9529200,,2803600,3917700,5486600,11428198,4907600,79817600,14344192,40644600,304900.0,3755700,13846000,7241800,,6300700,6092000,,4672100,9123600,8442100,11058800
2001-01-09,147232547,,9597370,9027400,23455200,,4372800,11454600,5487200,1328900,76913600,545399,77470000,3825200,4770200,,,20066000,77571200,,,8026000,5533200,7547100,40814400,6376600,7285100,8516200,,2778100,3930800,3962800,12201802,6097100,114965400,7572596,44818600,357100.0,3427400,11225900,9482600,,5476400,5587200,,5758400,11326800,7210800,11523600
2001-01-10,145195545,,7919944,9254500,11002500,,3674200,14501000,5673400,1526400,99784000,187199,3324100,4376200,3363000,,,24805300,53305600,,,7515900,6354400,7656100,51494300,7524200,10857000,7963200,,3091800,3802700,4344400,12375646,6172900,90230200,9823195,64627400,750400.0,4079800,14161100,5750600,,4561800,7573200,,4506700,15362600,9981400,20620600
2001-01-11,200933800,,12026613,7864900,12756600,,3385300,14693200,5871100,1390300,44619200,233399,33695100,5133200,5961500,,,23599100,38502400,,,6131600,4945600,9635000,64954600,8410400,16077700,6909000,,2179800,3209700,4190600,12082739,6659900,101854800,11191194,50906600,1228700.0,3499800,22098000,5691800,,3775100,8792800,,4297900,11738200,6702400,10989200
2001-01-12,105844305,,9550876,5509600,8434200,,3161000,8350600,4274600,1345900,27129600,328400,66957400,5148400,8355300,,,16802900,33148800,,,8391900,4046200,6448000,51374500,6772800,8946800,7212000,,3284200,4321100,3655800,7832970,5038600,73712000,16724991,40234100,925800.0,3084900,18387600,7568000,,5681000,6419200,,5852200,8525000,7322000,11894600
2001-01-16,76529676,,11934159,5511400,6017000,,3274400,21287800,3838500,1479100,9094400,654800,48381800,5990400,6506700,,,19758500,47542400,,,5983700,4420000,5671900,60301100,6100600,10508500,7163600,,4546000,3387100,4247400,9491054,5500900,68462400,10374594,31198700,918900.0,3153700,16295900,4671000,,6019400,8226800,,5155400,14995200,8331600,15606600
2001-01-17,210218610,,10258978,6624300,9166000,,6608400,16560800,5551900,1350400,22096000,351800,69477200,5570600,6343700,,,24412000,33747200,,,8951500,9644900,9727000,7427400,7827200,10317300,7651800,,5223100,10107100,11552200,7414936,6459000,72844200,14814592,52535000,1325500.0,4190400,17255700,7610400,,4738700,11669600,,6213900,9124200,7814700,14723400
2001-01-18,306752906,,9178174,5507700,4115800,,6047900,11780000,7732500,1414600,22551200,210800,79187500,5045000,4831800,,,19290300,45702400,,,12073100,4466500,25244900,86633300,9340000,13565600,7014400,,4744500,5616100,5365800,6406643,5191200,109788800,23704188,33749200,891600.0,3635800,17133300,6797400,,4843700,10007200,,5716800,8346600,6877900,17205000
2001-01-19,194166194,,7915989,10139000,6177500,,4295900,11225800,4689600,1209900,12958400,356999,78838600,4766800,5079300,,,19360100,31382400,,,34361100,4205700,14762200,81348900,7885600,10789100,9824200,,5238500,3005600,4061600,7401999,5380400,209348800,25467587,50227100,435000.0,4159100,16545300,6254800,,5267900,13198000,,4718000,9148400,8963300,20292200
2001-01-22,129831929,,6332086,54857700,4398600,,3605600,8684000,3393200,1570900,9963200,215399,59726300,4818800,6231200,,,20691900,27097600,,,15010000,3782200,9618500,45756600,7377000,10581500,6874600,,3267500,3186300,4052400,7025709,4398300,76673000,9442795,57564400,304600.0,2606000,14709000,6206800,,6288100,10538000,,4795800,6294200,7805700,13861600
2001-01-23,219882819,,8607631,16341600,4744300,,4417400,8757400,5797300,1174800,21276000,232400,55443000,4825600,8185400,,,21121600,41769600,,,8310800,4306000,9826900,84553900,8487200,8794600,7707800,,3290600,4186700,3528800,5949596,11432900,70295200,10840794,42545700,330900.0,6121000,12208900,5566000,,5500800,10196800,,4943100,9064800,4917800,11131600
2001-01-24,179272979,,13558572,13915700,13848100,,2998400,11042200,9629600,1573500,16736000,412400,70171600,3268000,8368500,,,19145100,33664000,,,7287500,2534800,6760900,73579100,11063000,9316500,9189400,,11006600,4898600,3703000,5725520,8412000,110455000,11293194,65596100,464400.0,5642400,21559000,4528200,,9420200,5084800,,7255900,7102800,7789400,12859800
2001-01-25,122427322,,11444527,21418100,7066400,,3684000,8711400,12237600,1262100,17436800,746999,65082100,8396200,5868100,,,20812100,19331200,,,9890400,5136300,4982100,45890400,7904400,8347100,7486800,,20823700,3660300,4224000,7894219,7299200,85657400,11000394,60995500,587900.0,5997200,14745400,5454800,,7287300,8775200,,5202800,10620000,9057000,13595000
2001-01-26,120705320,,8162569,8616100,5094600,,2300200,11745400,6275200,1237100,13840800,189200,43833300,4139800,9087700,,,26858500,27078400,,,7185400,5793200,9095200,48063700,6638000,7967800,6394600,,9631400,2764900,2956000,5673670,5292300,93080000,6481196,46538900,306700.0,4612700,14351900,6207600,,5372800,4901600,,4930100,9104000,5230900,11860000
2001-01-29,213882413,,5201047,7110300,7713000,,2364700,13714000,6101000,948200,6144800,461000,12188100,3165000,5216500,,,23027200,32451200,,,5499900,3114900,5125000,49092800,5201200,9494400,5123000,,8501700,2211700,3075400,5754527,4093500,84983800,8854195,33397000,451900.0,3283100,10291000,9223600,,5653200,4058800,,4813500,7106200,5114200,10545800
2001-01-30,173105973,,6418020,7095600,12273300,,3703800,15187000,5551400,1210200,7826400,185000,74652700,2629600,4833800,,,19843100,16272000,,,9632700,4511100,8242000,60806400,5023400,9452800,5507600,,5582200,1933900,4625200,6976385,3670400,57276800,6092996,42788300,543900.0,4041500,9589500,11224800,,4124100,8954000,,4223800,8707400,5124200,9700400
2001-01-31,182676382,,7268597,8907000,20475800,,3614900,15905800,8381900,1559000,14248000,687200,83891100,3285200,5117100,,,21346100,19267200,,,14702100,4531000,8314200,71894200,8595200,13130800,8614000,,7850300,3011100,4077800,11659147,5963700,81898800,8958595,46144400,660300.0,5223500,13045200,8331800,,5460300,7565600,,5237100,6828200,10848100,17017600
2001-02-01,92423892,,5234715,7745300,9468700,,4105500,12553800,7323000,1031100,14466400,134399,46785200,2901000,5896700,,,17586900,23692800,,,8844000,2603100,5580800,50297000,6213200,9174100,6720800,,6946800,3639100,3784600,8317104,5037500,71792800,9296395,38389200,202300.0,4880300,9538700,7553400,,7119500,8748000,,5903300,9373200,10385300,9116600
2001-02-02,106835506,,4933518,5902300,12101100,,2121700,9311200,6030500,865400,12920800,230999,57600300,2958000,5302200,,,16040500,22012800,,,5833100,3479500,5428400,47151200,6524600,7075200,6059400,,5769700,2621400,3324200,6153155,4246000,71100000,8012995,38655400,229400.0,5717500,9906100,7393400,,8428600,18066800,,10135500,5189000,5065000,10397600
2001-02-05,71528871,,5377725,6981100,9189800,,2188100,9242400,3566000,896000,5629600,280799,65876100,3338200,6055700,,,21847000,25974400,,,4199700,3520700,5113700,39185100,5671400,5273700,9183600,,4410000,2865300,3290600,7819325,2997500,51399200,9189595,35933100,200200.0,5261000,11377900,6786400,,6654800,9640000,,6146400,5201000,5604200,10757400
2001-02-06,115677915,,8667806,8051600,19075900,,2367000,13367200,2947800,892800,6980800,224999,91451300,6619000,9265100,,,15962600,27116800,,,4063200,2825300,7526400,40329200,5153800,7560200,6257000,,6791300,2975600,3080600,5698736,3598400,96442000,6260996,28746300,276600.0,4030300,15564500,7190800,,4423900,9046400,,4177900,5214800,5394000,10953000
2001-02-07,98471898,,6783668,8272900,7567900,,2182900,14626600,4567800,1011900,6700800,181400,279312700,4463600,8182700,,,13031100,30108800,,,5983400,2211200,9006900,53148000,5433600,7988800,9615600,,6112900,5853800,2803600,10276686,7800800,126061800,18009590,42854400,138300.0,6422400,19117000,7486600,,4579500,9883200,,4207500,4983400,4928400,11624800
